Year,Adjusted,Prelim,Period,Labor Force,No.of Employed,No.of Unemployed,Unemployment Rate %
2020,Not Adj,Not Prelim,Jan,"559,600","541,600","18,000",3.2
2020,Not Adj,Not Prelim,Feb,"558,800","541,300","17,500",3.1
2020,Not Adj,Not Prelim,Mar,"555,500","532,800","22,700",4.1
2020,Not Adj,Not Prelim,Apr,"536,500","458,800","77,800",14.5
2020,Not Adj,Not Prelim,May,"534,000","460,200","73,900",13.8
2020,Not Adj,Prelim,Jun,"546,600","473,300","73,300",13.4
2019,Not Adj,Prelim,Annual,"561,800","544,500","17,300",3.1
2019,Not Adj,Prelim,Jan,"561,500","540,900","20,600",3.7
2019,Not Adj,Prelim,Feb,"563,800","545,000","18,800",3.3
2019,Not Adj,Prelim,Mar,"563,300","544,400","18,900",3.4
2019,Not Adj,Prelim,Apr,"556,200","540,500","15,700",2.8
2019,Not Adj,Prelim,May,"556,600","541,600","15,000",2.7
2019,Not Adj,Prelim,Jun,"559,000","541,000","18,000",3.2
2019,Not Adj,Prelim,Jul,"564,900","545,600","19,300",3.4
2019,Not Adj,Prelim,Aug,"562,600","544,400","18,200",3.2
2019,Not Adj,Prelim,Sep,"563,300","547,900","15,500",2.7
2019,Not Adj,Prelim,Oct,"564,300","548,100","16,200",2.9
2019,Not Adj,Prelim,Nov,"563,400","547,600","15,800",2.8
2019,Not Adj,Not Prelim,Dec,"562,000","547,000","15,000",2.7
