Year,Adjusted,Prelim,Period,Labor Force,No.of Employed,No.of Unemployed,Unemployment Rate %
2020,Not Adj,Not Prelim,Jan,"72,500","70,000","2,500",3.5
2020,Not Adj,Not Prelim,Feb,"73,600","71,200","2,400",3.2
2020,Not Adj,Not Prelim,Mar,"73,300","70,300","3,000",4.1
2020,Not Adj,Not Prelim,Apr,"72,300","60,700","11,600",16.1
2020,Not Adj,Not Prelim,May,"72,100","61,700","10,500",14.5
2020,Not Adj,Prelim,Jun,"74,200","65,000","9,200",12.5
2019,Not Adj,Prelim,Annual,"74,000","71,900","2,100",2.8
2019,Not Adj,Prelim,Jan,"71,400","68,600","2,900",4
2019,Not Adj,Prelim,Feb,"73,000","70,600","2,500",3.4
2019,Not Adj,Prelim,Mar,"73,300","70,900","2,400",3.3
2019,Not Adj,Prelim,Apr,"72,600","70,600","1,900",2.7
2019,Not Adj,Prelim,May,"74,300","72,500","1,700",2.3
2019,Not Adj,Prelim,Jun,"75,100","73,000","2,100",2.8
2019,Not Adj,Prelim,Jul,"75,900","73,700","2,200",2.9
2019,Not Adj,Prelim,Aug,"75,400","73,400","2,000",2.7
2019,Not Adj,Prelim,Sep,"75,900","74,200","1,700",2.3
2019,Not Adj,Prelim,Oct,"75,600","73,700","1,800",2.4
2019,Not Adj,Prelim,Nov,"73,600","71,700","1,900",2.6
2019,Not Adj,Not Prelim,Dec,"71,900","69,900","2,100",2.9
