Year,Adjusted,Prelim,Period,Labor Force,No.of Employed,No.of Unemployed,Unemployment Rate %
2020,Not Adj,Not Prelim,Jan,"714,200","686,500","27,700",3.9
2020,Not Adj,Not Prelim,Feb,"714,800","688,000","26,800",3.7
2020,Not Adj,Not Prelim,Mar,"711,100","676,800","34,300",4.8
2020,Not Adj,Not Prelim,Apr,"689,900","590,100","99,700",14.5
2020,Not Adj,Not Prelim,May,"695,500","596,100","99,300",14.3
2020,Not Adj,Prelim,Jun,"707,800","611,700","96,100",13.6
2019,Not Adj,Prelim,Annual,"712,400","686,300","26,100",3.7
2019,Not Adj,Prelim,Jan,"712,600","681,500","31,100",4.4
2019,Not Adj,Prelim,Feb,"713,700","685,100","28,600",4
2019,Not Adj,Prelim,Mar,"713,200","684,400","28,800",4
2019,Not Adj,Prelim,Apr,"704,400","680,300","24,100",3.4
2019,Not Adj,Prelim,May,"705,600","682,600","23,000",3.3
2019,Not Adj,Prelim,Jun,"709,900","682,600","27,200",3.8
2019,Not Adj,Prelim,Jul,"715,500","686,500","29,100",4.1
2019,Not Adj,Prelim,Aug,"714,000","686,700","27,300",3.8
2019,Not Adj,Prelim,Sep,"714,700","691,500","23,200",3.2
2019,Not Adj,Prelim,Oct,"715,000","690,800","24,200",3.4
2019,Not Adj,Prelim,Nov,"715,300","691,600","23,700",3.3
2019,Not Adj,Not Prelim,Dec,"714,800","691,900","22,900",3.2
