Year,Adjusted,Prelim,Period,Labor Force,No.of Employed,No.of Unemployed,Unemployment Rate %
2020,Not Adj,Not Prelim,Jan,"46,500","42,400","4,100",8.7
2020,Not Adj,Not Prelim,Feb,"46,600","42,500","4,200",8.9
2020,Not Adj,Not Prelim,Mar,"47,400","42,100","5,400",11.3
2020,Not Adj,Not Prelim,Apr,"45,100","36,900","8,200",18.2
2020,Not Adj,Not Prelim,May,"43,000","36,100","6,900",16.1
2020,Not Adj,Prelim,Jun,"43,400","36,800","6,500",15
2019,Not Adj,Prelim,Annual,"45,800","42,400","3,300",7.3
2019,Not Adj,Prelim,Jan,"44,600","40,200","4,400",9.8
2019,Not Adj,Prelim,Feb,"45,000","40,600","4,400",9.7
2019,Not Adj,Prelim,Mar,"45,300","40,800","4,500",10
2019,Not Adj,Prelim,Apr,"44,900","41,200","3,800",8.4
2019,Not Adj,Prelim,May,"45,300","42,300","3,100",6.8
2019,Not Adj,Prelim,Jun,"46,200","42,900","3,200",7
2019,Not Adj,Prelim,Jul,"46,500","43,300","3,200",6.8
2019,Not Adj,Prelim,Aug,"46,900","44,200","2,700",5.8
2019,Not Adj,Prelim,Sep,"46,100","43,800","2,300",5
2019,Not Adj,Prelim,Oct,"46,300","43,800","2,500",5.4
2019,Not Adj,Prelim,Nov,"46,100","43,300","2,800",6
2019,Not Adj,Not Prelim,Dec,"46,200","42,900","3,300",7.2
