StartEndYear,Period,Area,Series code,Industry,Adjusted,Benchmark,No. of Employed
2020,Jan,California,0,Total Nonfarm,Not Adj,2019,17445800
2020,Jan,California,1000000,Total Wage and Salary,Not Adj,2019,17803600
2020,Jan,California,5000000,Total Private,Not Adj,2019,14812200
2020,Jan,California,6000000,Goods Producing,Not Adj,2019,2190500
2020,Jan,California,7000000,Service Providing,Not Adj,2019,15255300
2020,Jan,California,8000000,Private Service Providing,Not Adj,2019,12621700
2020,Jan,California,10000000,Mining and Logging,Not Adj,2019,22100
2020,Jan,California,10113300,Logging,Not Adj,2019,1400
2020,Jan,California,10210000,Mining,Not Adj,2019,20700
2020,Jan,California,10211000,Oil & Gas Extraction,Not Adj,2019,4700
2020,Jan,California,10212000,"Mining, except Oil & Gas",Not Adj,2019,5900
2020,Jan,California,10213000,Support Activities for Mining,Not Adj,2019,10100
2020,Jan,California,11000000,Total Farm,Not Adj,2019,357800
2020,Jan,California,15000000,"Natural Resources, Mining and Constructi",Not Adj,2019,883600
2020,Jan,California,20000000,Construction,Not Adj,2019,861500
2020,Jan,California,20236000,Construction of Buildings,Not Adj,2019,196300
2020,Jan,California,20236100,Residential Building Construction,Not Adj,2019,115800
2020,Jan,California,20236200,Nonresidential Building Construction,Not Adj,2019,80500
2020,Jan,California,20237000,Heavy and Civil Engineering Construction,Not Adj,2019,90000
2020,Jan,California,20237100,Utility System Const.,Not Adj,2019,48600
2020,Jan,California,20237200,L& Subdivision,Not Adj,2019,6800
2020,Jan,California,20237300,"Highway, Street, and Bridge Const",Not Adj,2019,24200
2020,Jan,California,20237900,Other Heavy & Civil Engineer,Not Adj,2019,10400
2020,Jan,California,20238000,Specialty Trade Contractors,Not Adj,2019,575200
2020,Jan,California,20238100,Building Foundation and Exterior Contrac,Not Adj,2019,126200
2020,Jan,California,20238200,Building Equipment Contractors,Not Adj,2019,245200
2020,Jan,California,20238300,Building Finishing Contractors,Not Adj,2019,140000
2020,Jan,California,20238900,Other Specialty Trade Contract,Not Adj,2019,63800
2020,Jan,California,30000000,Manufacturing,Not Adj,2019,1306900
2020,Jan,California,31000000,Durable Goods,Not Adj,2019,850400
2020,Jan,California,31321000,Wood Product Manufacturing,Not Adj,2019,25400
2020,Jan,California,31321900,Other Wood Product Mfg.,Not Adj,2019,18300
2020,Jan,California,31327000,Nonmetallic Mineral Product Mfg.,Not Adj,2019,32300
2020,Jan,California,31331000,Primary Metal Manufacturing,Not Adj,2019,16600
2020,Jan,California,31332000,Fabricated Metal Product Mfg,Not Adj,2019,130500
2020,Jan,California,31332300,Architectural & Structural Metals Mfg.,Not Adj,2019,33100
2020,Jan,California,31332700,Machine Shops & Threaded Product Mfg.,Not Adj,2019,41400
2020,Jan,California,31332900,Other Fabricated Metal Product Mfg.,Not Adj,2019,17700
2020,Jan,California,31333000,Machinery Manufacturing,Not Adj,2019,77700
2020,Jan,California,31333200,Industrial Machinery Manufacturing,Not Adj,2019,21400
2020,Jan,California,31333300,Commercial and Service Industry Manufact,Not Adj,2019,11400
2020,Jan,California,31333500,Metalworking Machinery Mfg.,Not Adj,2019,12200
2020,Jan,California,31333900,ResidualOther General Purpose Machinery,Not Adj,2019,15200
2020,Jan,California,31334000,Computer and Electronic Product Manufact,Not Adj,2019,287700
2020,Jan,California,31334100,Computer and Peripheral Equipment Manufa,Not Adj,2019,79200
2020,Jan,California,31334111,Electronic Computer Manufacturing,Not Adj,2019,68300
2020,Jan,California,31334200,Communications Equipment Manufacturing,Not Adj,2019,17600
2020,Jan,California,31334400,Semiconductor and Electronic Component M,Not Adj,2019,82500
2020,Jan,California,31334412,Bare Printed Circuit Board Manufacturing,Not Adj,2019,8200
2020,Jan,California,31334413,Semiconductor and Related Devices Manufa,Not Adj,2019,40900
2020,Jan,California,31334500,Electronic Instrument Manufacturing,Not Adj,2019,95500
2020,Jan,California,31335000,Electrical Equipment and Appliance Manuf,Not Adj,2019,32200
